column_a,player_id,year,rnd,pick,tm,player,hof,pos,position_standard,first4av,age,to,ap1,pb,st,carav,drav,g,cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,tkl,def_int,sk,college_univ
1988Mel Farr,FarrMe20,1988,9,248,DEN,Mel Farr,No,RB,RB,0,22,1989,0,0,0,0,,1,,,,,,,,,,,,,,UCLA,
1988Kenny Gamble,GambKe00,1988,10,251,KAN,Kenny Gamble,No,RB,RB,0,23,1990,0,0,0,0,0,19,,,,,,6,24,1,3,-5,0,1,,Colgate,
1988John Jackson,JackJo22,1988,10,252,PIT,John Jackson,No,T,T,29,23,2001,0,0,11,59,50,203,,,,,,,,,,,,,,East. Kentucky,
1988Ellis Dillahunt,DillEl20,1988,10,253,CIN,Ellis Dillahunt,No,DB,DB,0,23,1988,0,0,0,0,0,8,,,,,,,,,,,,,,East Carolina,
1988John Booty,BootJo20,1988,10,257,NYJ,John Booty,No,DB,DB,12,22,1995,0,0,2,22,3,102,,,,,,,,,1,48,0,14,4,TCU,
1991Tahaun Lewis,LewiTa20,1991,9,247,RAI,Tahaun Lewis,No,DB,DB,1,23,1992,0,0,0,1,,9,,,,,,,,,,,,,,Nebraska,
1988Martin Mayhew,MayhMa20,1988,10,262,BUF,Martin Mayhew,No,DB,DB,29,22,1996,0,0,7,41,,118,,,,,,,,,,,,21,1,Florida St.,
1988Artis Jackson,,1988,10,266,MIA,Artis Jackson,No,DT,DT,0,,,0,0,0,,,,,,,,,,,,,,,,,Texas Tech,
1988Rodney Lossow,,1988,10,267,NWE,Rodney Lossow,No,C,C,0,,,0,0,0,,,,,,,,,,,,,,,,,Wisconsin,
1988Channing Williams,,1988,10,268,DEN,Channing Williams,No,RB,RB,0,,,0,0,0,,,,,,,,,,,,,,,,,Arizona St.,
1988O'Brien Alston,AlstOB20,1988,10,270,IND,O'Brien Alston,No,LB,LB,7,22,1989,0,0,1,7,7,19,,,,,,,,,,,,,4,Maryland,
1988Marco Johnson,,1988,10,271,HOU,Marco Johnson,No,WR,WR,0,,,0,0,0,,,,,,,,,,,,,,,,,Hawaii,
1988Brian Washington,WashBr20,1988,10,272,CLE,Brian Washington,No,DB,DB,25,23,1996,0,0,8,47,4,124,,,,,,,,,,,,27,5,Nebraska,
1988Paul Hickert,,1988,11,280,CIN,Paul Hickert,No,K,K,0,,,0,0,0,,,,,,,,,,,,,,,,,Murray St.,
1988Danny McManus,,1988,11,282,KAN,Danny McManus,No,QB,QB,0,,,0,0,0,,,,,,,,,,,,,,,,,Florida St.,
1991Todd Marinovich,MariTo00,1991,1,24,RAI,Todd Marinovich,No,QB,QB,3,22,1992,0,0,0,3,3,8,104,205,1345,8,9,12,44,0,,,,,,USC,
1988Ed Miller,,1988,11,285,SDG,Ed Miller,No,C,C,0,,,0,0,0,,,,,,,,,,,,,,,,,Pittsburgh,
1988John Galvin,GalvJo21,1988,11,287,NYJ,John Galvin,No,LB,LB,4,23,1991,0,0,0,4,3,52,,,,,,,,,,,,,,Boston Col.,
1988Pete Curkendall,,1988,11,289,BUF,Pete Curkendall,No,DT,DT,0,,,0,0,0,,,,,,,,,,,,,,,,,Penn St.,
1991Todd Woulard,,1991,8,219,RAI,Todd Woulard,No,LB,LB,0,,,0,0,0,,,,,,,,,,,,,,,,,Alabama A&M,
1988Tom Kelleher,,1988,11,292,MIA,Tom Kelleher,No,RB,RB,0,,,0,0,0,,,,,,,,,,,,,,,,,Holy Cross,
1988George Hinkle,HinkGe20,1988,11,293,SDG,George Hinkle,No,DE,DE,10,23,1993,0,0,2,13,8,68,,,,,,,,,,,,,7.5,Arizona,
1988Marvin Allen,AlleMa01,1988,11,294,NWE,Marvin Allen,No,RB,RB,1,22,1991,0,0,0,1,1,37,,,,,,94,378,2,7,57,0,,,Tulane,
1988Bobby Dawson,,1988,11,295,PIT,Bobby Dawson,No,DB,DB,0,,,0,0,0,,,,,,,,,,,,,,,,,Illinois,
1988Donnie Dee,DeexDo20,1988,11,297,IND,Donnie Dee,No,TE,TE,0,23,1989,0,0,0,0,0,17,,,,,,,,,,,,,,Tulsa,
1988Jethro Franklin,FranJe22,1988,11,298,HOU,Jethro Franklin,No,DE,DE,1,22,1989,0,0,0,1,,7,,,,,,,,,,,,,,Fresno St.,
1988Hendley Hawkins,,1988,11,300,CLE,Hendley Hawkins,No,WR,WR,0,,,0,0,0,,,,,,,,,,,,,,,,,Nebraska,
1988Richard Calvin,,1988,11,304,DEN,Richard Calvin,No,RB,RB,0,,,0,0,0,,,,,,,,,,,,,,,,,Washington St.,
1988Carl Parker,ParkCa20,1988,12,307,CIN,Carl Parker,No,WR,WR,0,23,1989,0,0,0,0,0,6,,,,,,,,,1,45,0,,,Vanderbilt,
1988Aatron Kenney,,1988,12,308,IND,Aatron Kenney,No,WR,WR,0,,,0,0,0,,,,,,,,,,,,,,,,,Wisc-Stevens Point,
1988John Driscoll,,1988,12,309,BUF,John Driscoll,No,T,T,0,,,0,0,0,,,,,,,,,,,,,,,,,New Hampshire,
1988Albert Goss,,1988,12,314,NYJ,Albert Goss,No,DT,DT,0,,,0,0,0,,,,,,,,,,,,,,,,,Jackson St.,
1988Tom Erlandson,ErlaTo20,1988,12,316,BUF,Tom Erlandson,No,LB,LB,0,22,1988,0,0,0,0,0,4,,,,,,,,,,,,,,Washington,
1992Alberto White,WhitAl20,1992,10,268,RAI,Alberto White,No,DE,DE,1,21,1996,0,0,0,1,1,13,,,,,,,,,,,,,3,Texas Southern,
1988Brian Kinchen,KincBr00,1988,12,320,MIA,Brian Kinchen,No,TE,TE,0,23,2003,0,0,4,15,0,193,,,,,,,,,160,1648,7,,,LSU,
1988Dave Nugent,,1988,12,321,NWE,Dave Nugent,No,DT,DT,0,,,0,0,0,,,,,,,,,,,,,,,,,Boston Col.,
1988James Earle,,1988,12,322,PIT,James Earle,No,LB,LB,0,,,0,0,0,,,,,,,,,,,,,,,,,Clemson,
1988Wendell Phillips,,1988,12,324,SDG,Wendell Phillips,No,DB,DB,0,,,0,0,0,,,,,,,,,,,,,,,,,North Alabama,
1988John Brantley,BranJo21,1988,12,325,HOU,John Brantley,No,LB,LB,2,22,1992,0,0,0,2,0,20,,,,,,,,,,,,,,Georgia,
1988Tim Vesling,,1988,12,327,IND,Tim Vesling,No,K,K,0,,,0,0,0,,,,,,,,,,,,,,,,,Syracuse,
1988Steve Slayden,,1988,12,328,CLE,Steve Slayden,No,QB,QB,0,,,0,0,0,,,,,,,,,,,,,,,,,Duke,
1988Johnny Carter,,1988,12,332,DEN,Johnny Carter,No,DT,DT,0,,,0,0,0,,,,,,,,,,,,,,,,,Grambling St.,
1987Cornelius Bennett,BennCo00,1987,1,2,IND,Cornelius Bennett,No,LB,LB,48,22,2000,1,5,14,90,9,206,,,,,,,,,,,,7,71.5,Alabama,
1987Alonzo Highsmith,HighAl00,1987,1,3,HOU,Alonzo Highsmith,No,RB,RB,12,22,1992,0,0,2,12,12,65,,,,,,283,1195,7,42,428,3,,,Miami (FL),
1987Mike Junkin,JunkMi20,1987,1,5,CLE,Mike Junkin,No,LB,LB,3,22,1989,0,0,0,3,3,20,,,,,,,,,,,,,,Duke,
1987Shane Conlan,ConlSh00,1987,1,8,BUF,Shane Conlan,No,LB,LB,47,23,1995,0,3,8,59,47,120,,,,,,,,,,,,5,7,Penn St.,
1987Rod Woodson,WoodRo01,1987,1,10,PIT,Rod Woodson,No,DB,DB,52,22,2003,6,11,15,141,95,238,,,,,,1,0,0,,,,71,13.5,Purdue,
1987John Bosa,BosaJo20,1987,1,16,MIA,John Bosa,No,DE,DE,10,23,1989,0,0,1,10,10,31,,,,,,,,,,,,,7,Boston Col.,
1987Jason Buck,BuckJa20,1987,1,17,CIN,Jason Buck,No,DE,DE,14,24,1993,0,0,1,18,12,97,,,,,,,,,,,,,19,BYU,
1987Paul Palmer,PalmPa00,1987,1,19,KAN,Paul Palmer,No,RB,RB,14,22,1989,0,0,2,14,11,41,0,1,0,0,0,270,1053,4,74,731,4,,,Temple,
1987Haywood Jeffires,JeffHa00,1987,1,20,HOU,Haywood Jeffires,No,WR,WR,30,22,1996,1,3,6,52,50,132,,,,,,,,,535,6334,50,,,North Carolina St.,
1987Roger Vick,VickRo00,1987,1,21,NYJ,Roger Vick,No,RB,RB,12,23,1990,0,0,3,12,12,58,,,,,,333,1289,10,66,469,2,,,Texas A&M,
1987Bruce Armstrong,ArmsBr00,1987,1,23,NWE,Bruce Armstrong,No,T,T,36,22,2000,0,6,14,81,81,212,,,,,,,,,,,,,,Louisville,
1987Rod Bernstine,BernRo00,1987,1,24,SDG,Rod Bernstine,No,RB,RB,18,22,1995,0,0,3,31,20,84,1,1,11,1,0,670,2990,22,149,1384,2,,,Texas A&M,
1987Ricky Nattiel,NattRi00,1987,1,27,DEN,Ricky Nattiel,No,WR,WR,20,21,1992,0,0,1,19,19,70,0,1,0,0,0,7,64,0,121,1972,8,,,Florida,
1987Nate Odomes,OdomNa00,1987,2,29,BUF,Nate Odomes,No,DB,DB,35,22,1996,0,2,7,52,52,115,,,,,,,,,,,,26,3,Wisconsin,
1987Gregg Rakoczy,RakoGr20,1987,2,32,CLE,Gregg Rakoczy,No,C,C,21,22,1992,0,0,3,21,19,81,,,,,,,,,,,,,,Miami (FL),
1987Roland Mitchell,MitcRo20,1987,2,33,BUF,Roland Mitchell,No,DB,DB,5,23,1994,0,0,1,15,1,89,,,,,,,,,,,,6,1,Texas Tech,
1987Christian Okoye,OkoyCh00,1987,2,35,KAN,Christian Okoye,No,RB,RB,32,26,1992,1,2,6,33,33,79,,,,,,1246,4897,40,42,294,0,,,Azusa Pacific,
1987Delton Hall,HallDe20,1987,2,38,PIT,Delton Hall,No,DB,DB,12,22,1992,0,0,1,12,11,76,,,,,,,,,,,,5,1,Clemson,
1987Alex Gordon,GordAl20,1987,2,42,NYJ,Alex Gordon,No,LB,LB,19,23,1993,0,0,3,21,16,96,,,,,,,,,,,,1,12,Cincinnati,
1987Rick Graf,GrafRi20,1987,2,43,MIA,Rick Graf,No,LB,LB,12,23,1993,0,0,1,14,10,73,,,,,,,,,,,,2,4,Wisconsin,
1987Walter Johnson,JohnWa21,1987,2,46,HOU,Walter Johnson,No,LB,LB,3,23,1989,0,0,0,3,2,41,,,,,,,,,,,,,,Louisiana Tech,
1987Eric Thomas,ThomEr01,1987,2,49,CIN,Eric Thomas,No,DB,DB,23,23,1995,0,1,5,33,25,111,,,,,,,,,,,,17,3,Tulane,
1992Chester McGlockton,McGlCh00,1992,1,16,RAI,Chester McGlockton,No,DT,DT,51,23,2003,1,4,9,79,54,179,,,,,,,,,,,,4,51,Clemson,
1987Lou Brock,BrocLo21,1987,2,53,SDG,Lou Brock,No,DB,DB,0,23,1988,0,0,0,0,0,4,,,,,,,,,,,,,,USC,
1987Scott Schwedes,SchwSc00,1987,2,56,MIA,Scott Schwedes,No,WR,WR,5,22,1990,0,0,0,5,5,46,,,,,,,,,19,370,2,,,Syracuse,
1987Chris Gambol,GambCh21,1987,3,58,IND,Chris Gambol,No,G,G,5,23,1990,0,0,1,5,0,34,,,,,,,,,,,,,,Iowa,
1987Karl Wilson,WilsKa20,1987,3,59,SDG,Karl Wilson,No,DE,DE,12,23,1995,0,0,1,14,2,103,,,,,,,,,,,,,15,LSU,
1987David Brandon,BranDa21,1987,3,60,BUF,David Brandon,No,LB,LB,8,22,1997,0,0,1,20,,123,,,,,,,,,,,,4,7,Memphis,
1987Cody Carlson,CarlCo00,1987,3,64,HOU,Cody Carlson,No,QB,QB,12,23,1994,0,0,0,15,15,45,370,659,4469,21,28,81,217,4,,,,,,Baylor,
1987Charles Lockett,LockCh00,1987,3,66,PIT,Charles Lockett,No,WR,WR,4,21,1988,0,0,0,4,4,27,,,,,,,,,29,481,2,,,Long Beach St.,
1987Todd Howard,HowaTo20,1987,3,73,KAN,Todd Howard,No,LB,LB,1,22,1988,0,0,0,1,1,19,,,,,,,,,,,,,,Texas A&M,
1987Onzy Elam,ElamOn20,1987,3,75,NYJ,Onzy Elam,No,LB,LB,0,22,1989,0,0,0,0,0,10,,,,,,,,,,,,,,Tennessee St.,
1987Len Bell,BellLe20,1987,3,76,CIN,Len Bell,No,DB,DB,0,23,1987,0,0,0,0,0,1,,,,,,,,,,,,,,Indiana,
1987Skip McClendon,McClSk20,1987,3,77,CIN,Skip McClendon,No,DE,DE,16,23,1993,0,0,3,21,15,92,,,,,,,,,,,,,8,Arizona St.,
1987Jamie Mueller,MuelJa00,1987,3,78,BUF,Jamie Mueller,No,RB,RB,8,22,1990,0,0,2,8,8,57,,,,,,238,901,4,28,169,1,,,Benedictine,
1987Bob Perryman,PerrBo00,1987,3,79,NWE,Bob Perryman,No,RB,RB,13,22,1992,0,0,3,12,10,68,,,,,,393,1338,9,83,616,0,,,Michigan,
1987Tim Manoa,ManoTi00,1987,3,80,CLE,Tim Manoa,No,RB,RB,9,23,1991,0,0,1,9,8,53,,,,,,236,938,6,40,308,2,,,Penn St.,
1992Curtis Cotton,,1992,7,173,RAI,Curtis Cotton,No,DB,DB,0,,,0,0,0,,,,,,,,,,,,,,,,,Nebraska,
1987Jeff Jaeger,jaegejef01,1987,3,82,CLE,Jeff Jaeger,No,K,K,12,22,1999,1,1,11,30,1,165,0,1,0,0,0,,,,,,,,,Washington,
1987Michael Brooks,BrooMi01,1987,3,86,DEN,Michael Brooks,No,LB,LB,28,23,1996,0,1,7,58,30,138,,,,,,,,,,,,4,7,LSU,
1987Randy Dixon,DixoRa20,1987,4,85,IND,Randy Dixon,No,G,G,25,22,1995,0,0,8,40,40,118,,,,,,,,,,,,,,Pittsburgh,
1987Mark Vlasic,VlasMa00,1987,4,88,SDG,Mark Vlasic,No,QB,QB,3,23,1991,0,0,0,3,2,15,75,142,762,4,5,4,-1,0,,,,,,Iowa,
