column_a,player_id,year,rnd,pick,tm,player,hof,pos,position_standard,first4av,age,to,ap1,pb,st,carav,drav,g,cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,tkl,def_int,sk,college_univ
2001Matt Stewart,StewMa21,2001,4,102,ATL,Matt Stewart,No,LB,LB,26,22,2006,0,0,4,26,19,93,,,,,,,,,,,,239,1,8,Vanderbilt
2001Karon Riley,RileKa20,2001,4,103,CHI,Karon Riley,No,LB,LB,1,23,2004,0,0,0,1,0,25,,,,,,,,,,,,12,,,Minnesota
2001Orlando Huff,HuffOr20,2001,4,104,SEA,Orlando Huff,No,LB,LB,19,23,2006,0,0,3,22,12,87,,,,,,,,,,,,217,2,3,Fresno St.
2001Bill Ferrario,FerrBi20,2001,4,105,GNB,Bill Ferrario,No,G,G,1,23,2002,0,0,0,1,1,16,,,,,,,,,,,,,,,Wisconsin
2001Chris Weinke,WeinCh00,2001,4,106,CAR,Chris Weinke,No,QB,QB,7,29,2007,0,0,1,9,9,29,386,709,3904,15,26,54,148,6,,,,1,,,Florida St.
2001Sage Rosenfels,RoseSa00,2001,4,109,WAS,Sage Rosenfels,No,QB,QB,3,23,2010,0,0,0,13,,44,351,562,4156,30,29,48,95,1,,,,1,,,Iowa St.
2001Cedric Scott,ScotCe20,2001,4,114,NYG,Cedric Scott,No,DE,DE,1,23,2002,0,0,0,1,1,13,,,,,,,,,,,,4,,,Southern Miss
2001Moran Norris,NorrMo00,2001,4,115,NOR,Moran Norris,No,FB,FB,0,23,2011,0,0,3,1,0,140,,,,,,28,67,1,38,198,3,19,,,Kansas
1992Sean Gilbert,GilbSe00,1992,1,3,RAM,Sean Gilbert,No,DT,DT,35,22,2003,0,1,8,51,21,146,,,,,,,,,,,,2,42.5,Pittsburgh,
2001John Howell,HoweJo21,2001,4,117,TAM,John Howell,No,DB,DB,8,23,2006,0,0,0,7,7,65,,,,,,,,,0,0,0,83,,,Colorado St.
2001Correll Buckhalter,BuckCo00,2001,4,121,PHI,Correll Buckhalter,No,RB,RB,11,22,2010,0,0,0,28,20,103,,,,,,655,2944,21,144,1410,6,15,,,Nebraska
2001Markus Steele,SteeMa20,2001,4,122,DAL,Markus Steele,No,LB,LB,8,22,2003,0,0,1,8,8,42,,,,,,,,,,,,71,,,USC
2001Marcus Bell,BellMa20,2001,4,123,ARI,Marcus Bell,No,DT,DT,11,22,2006,0,0,1,13,8,86,,,,,,,,,,,,116,,6.5,Memphis
2001Jesse Palmer,PalmJe00,2001,4,125,NYG,Jesse Palmer,No,QB,QB,1,22,2003,0,0,0,1,1,8,63,120,562,3,4,5,20,0,,,,,,,Florida
2001Curtis Fuller,FullCu20,2001,4,127,SEA,Curtis Fuller,No,DB,DB,3,23,2004,0,0,0,3,2,42,,,,,,,,,,,,40,1,,TCU
2001Floyd Womack,WomaFl20,2001,4,128,SEA,Floyd Womack,No,T,T,15,22,2010,0,0,4,29,21,120,,,,,,,,,,,,1,,,Mississippi St.
1992Shawn Harper,HarpSh20,1992,4,87,RAM,Shawn Harper,No,T,T,1,24,1995,0,0,0,1,,8,,,,,,,,,,,,,,Indiana,
2001Shawn Worthen,WortSh20,2001,4,130,MIN,Shawn Worthen,No,DT,DT,0,25,2001,0,0,0,0,0,4,,,,,,,,,,,,3,,,TCU
2001Cedric James,JameCe00,2001,4,131,MIN,Cedric James,No,WR,WR,0,22,2002,0,0,0,0,0,5,,,,,,,,,1,29,0,1,,,TCU
2001Mario Fatafehi,FataMa20,2001,5,133,ARI,Mario Fatafehi,No,DT,DT,14,22,2004,0,0,1,14,1,45,,,,,,,,,,,,40,,5,Kansas St.
2001Vinny Sutherland,SuthVi00,2001,5,136,ATL,Vinny Sutherland,No,WR,WR,0,23,2002,0,0,0,0,,18,,,,,,1,16,0,1,5,0,1,,,Purdue
2001Matt Lehr,LehrMa20,2001,5,137,DAL,Matt Lehr,No,C,C,15,22,2008,0,0,3,22,7,98,,,,,,,,,0,0,0,1,,,Virginia Tech
2001Bernard Robertson,RobeBe20,2001,5,138,CHI,Bernard Robertson,No,T,T,3,22,2002,0,0,0,3,3,16,,,,,,,,,,,,,,,Tulane
2001Alex Bannister,BannAl00,2001,5,140,SEA,Alex Bannister,No,WR,WR,1,22,2006,0,1,0,1,1,59,,,,,,,,,9,121,1,44,,,East. Kentucky
2001Jarrod Cooper,CoopJa20,2001,5,143,CAR,Jarrod Cooper,No,DB,DB,7,23,2007,0,0,1,8,2,87,,,,,,,,,,,,111,,1.5,Kansas St.
1992Steve Israel,IsraSt20,1992,2,30,RAM,Steve Israel,No,DB,DB,8,23,2001,0,0,2,17,5,102,,,,,,,,,,,,5,4,Pittsburgh,
2001Tony Stewart,StewTo00,2001,5,147,PHI,Tony Stewart,No,TE,TE,2,22,2009,0,0,1,4,0,115,,,,,,,,,76,623,3,46,,,Penn St.
2001Scotty Anderson,AndeSc00,2001,5,148,DET,Scotty Anderson,No,WR,WR,8,21,2003,0,0,0,8,8,34,,,,,,,,,54,858,4,3,,,Grambling St.
2001Mike McMahon,McMaMi00,2001,5,149,DET,Mike McMahon,No,QB,QB,6,22,2005,0,0,0,6,5,29,229,515,2867,15,21,82,409,7,1,7,0,3,,,Rutgers
